time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_acc_x,ang_acc_y,ang_acc_z,q_w,q_x,q_y,q_z,cmd_thrust,cmd_roll_rate,cmd_pitch_rate,cmd_yaw_rate,x_ref,y_ref,z_ref,yaw_ref
0.000000,-0.002241,0.014786,-2.010314,-0.027854,-0.017448,-0.016872,-0.001832,-0.007303,-9.771368,-0.010976,0.002697,-0.002883,-0.010444,0.004050,-0.002228,0.701460,-0.000995,-0.000435,0.712708,-0.727283,-0.009734,0.002186,-0.002916,0.000000,0.000000,-2.000000,0.000000
0.020000,-0.003256,0.014686,-2.010936,-0.027400,-0.017404,-0.016496,0.007853,-0.007210,-9.782810,-0.010415,0.002917,-0.002736,-0.009959,0.003062,-0.002307,0.701471,-0.001108,-0.000496,0.712697,-0.727219,-0.009496,0.001870,-0.002910,0.000000,0.000000,-2.000000,0.000000
0.040024,-0.003921,0.014597,-2.011338,-0.027059,-0.017481,-0.016140,0.010854,-0.004060,-9.772833,-0.010817,0.001857,-0.002268,-0.010990,0.001251,-0.002448,0.701475,-0.001179,-0.000544,0.712693,-0.727130,-0.009087,0.001409,-0.002906,0.000000,0.000000,-2.000000,0.000000
0.059999,-0.004901,0.014433,-2.011920,-0.026578,-0.017425,-0.015628,0.004440,0.000185,-9.777800,-0.010715,0.002153,-0.002562,-0.010178,0.002732,-0.002571,0.701487,-0.001286,-0.000622,0.712681,-0.727081,-0.008748,0.001157,-0.002902,0.000000,0.000000,-2.000000,0.000000
0.080003,-0.005556,0.014286,-2.012287,-0.026288,-0.017426,-0.015255,0.007691,-0.001618,-9.771782,-0.011730,0.001272,-0.003969,-0.010922,0.002469,-0.003307,0.701496,-0.001359,-0.000679,0.712672,-0.727007,-0.008177,0.000702,-0.002896,0.000000,0.000000,-2.000000,0.000000
0.100003,-0.006197,0.014135,-2.012644,-0.025928,-0.017498,-0.014829,0.002681,-0.001990,-9.774266,-0.010533,0.001151,-0.002765,-0.010929,0.000394,-0.002546,0.701503,-0.001427,-0.000729,0.712665,-0.726970,-0.007815,0.000377,-0.002891,0.000000,0.000000,-2.000000,0.000000
0.120000,-0.007183,0.013849,-2.013129,-0.025416,-0.017698,-0.014209,0.002342,-0.001786,-9.782550,-0.011541,0.000777,-0.003348,-0.011751,0.000438,-0.002092,0.701510,-0.001526,-0.000814,0.712657,-0.726923,-0.007281,-0.000180,-0.002888,0.000000,0.000000,-2.000000,0.000000
0.140000,-0.008140,0.013528,-2.013613,-0.024732,-0.017976,-0.013616,0.003964,-0.008983,-9.771518,-0.011024,-0.000015,-0.003000,-0.010611,-0.000007,-0.003742,0.701517,-0.001630,-0.000906,0.712650,-0.726877,-0.006556,-0.000833,-0.002883,0.000000,0.000000,-2.000000,0.000000
0.160018,-0.008766,0.013281,-2.013913,-0.024157,-0.018148,-0.013121,-0.002325,-0.001345,-9.764250,-0.011825,0.000016,-0.003530,-0.010434,-0.000593,-0.003532,0.701524,-0.001691,-0.000971,0.712643,-0.726853,-0.006043,-0.001208,-0.002880,0.000000,0.000000,-2.000000,0.000000
0.180027,-0.009682,0.012837,-2.014301,-0.023393,-0.018491,-0.012274,-0.003250,0.000177,-9.759389,-0.010987,-0.002834,-0.002222,-0.011251,-0.002474,-0.001514,0.701528,-0.001768,-0.001074,0.712639,-0.726837,-0.005481,-0.001633,-0.002876,0.000000,0.000000,-2.000000,0.000000
